data_dir,AG,Mouse#,Recording,distance,trajectory,mouse,cell_num,channel,pos,src,pre_firing_rate,pre_cv,pre_bursts,pre_burst_fr,pre_percent_time_bursting,pre_percent_spike_bursting,pre_mean_burst_duration,pre_mean_interburst_interval,pre_nonbursting_fr,pre_bursting_firing_rate_increase,baseline_firing_rate,baseline_cv,baseline_bursts,baseline_burst_fr,baseline_percent_time_bursting,baseline_percent_spike_bursting,baseline_mean_burst_duration,baseline_mean_interburst_interval,baseline_nonbursting_fr,baseline_bursting_firing_rate_increase,diff_firing_rate,diff_cv,diff_bursts,diff_burst_fr,diff_percent_time_bursting,diff_percent_spike_bursting,diff_mean_burst_duration,diff_mean_interburst_interval,diff_nonbursting_fr,diff_bursting_firing_rate_increase,bucket_path,z_score_diff_firing_rate,z_score_diff_cv,z_score_diff_bursts,z_score_diff_burst_fr,z_score_diff_percent_time_bursting,z_score_diff_percent_spike_bursting,z_score_diff_mean_burst_duration,z_score_diff_mean_interburst_interval,z_score_diff_nonbursting_fr,z_score_diff_bursting_firing_rate_increase,filtering_z_score_baseline_firing_rate,filtering_z_score_baseline_cv,filtering_z_score_baseline_bursts,filtering_z_score_baseline_burst_fr,filtering_z_score_baseline_percent_time_bursting,filtering_z_score_baseline_percent_spike_bursting,filtering_z_score_baseline_mean_burst_duration,filtering_z_score_baseline_mean_interburst_interval,filtering_z_score_baseline_nonbursting_fr,filtering_z_score_baseline_bursting_firing_rate_increase,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,cluster
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0056,AG7094,3,081921,1.7,2,Naive mice,56,11,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#3_Naive_recorded_081921/Trajectory2_1.7mm_right_rec3_1mW_10s_GPe_neurons_recorded_together/Ch11.txt,15.350286088346378,0.7269130574491466,0.5482245031552277,70.96103993046826,0.029896509572065032,0.12244897959183673,0.054533333333333225,1.8211000000000002,13.885796055061485,5.110332864539112,12.1,0.6688832747823826,0.3,22.314421473536836,0.015252500000003976,0.08658645276292336,0.015252500000003976,1.0,11.143064501009432,2.3186629478382605,-0.9571428571428571,-1.0,-0.3,-0.3,-0.3,-0.3,-0.3,0.0,-0.9571428571428571,-0.3,data/Split/Healthy,-1.239408264438615,-1.5553995123211926,-0.6201279232394411,-0.6069283083991327,-0.6318805791976171,-0.6439153012894844,-0.6365584127647426,0.022472013246651306,-1.236826424177381,-0.6441143320302584,-0.9046156363790968,0.3757771219116078,-0.4945498205664938,-0.5923185535901885,-0.13102034843260665,0.0905794002807686,0.2023986819995718,0.7360436647324773,-0.8805390516733088,-0.12719984443741703,-2.523602060062317,-1.2511382102099502,-0.4288715134441836,-0.2845793360284779,-0.023466319928647998,0.003119158054664116,-0.024346262574268647,0.0005511381374719935,0.0006479197188040491,-0.0002619440819694971,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0092,AG7094,1,081321,1.0,2,Naive mice,92,8,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#1_Naive_recorded_081321/Trajectory2_1.0mm_right_1mW_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch8.txt,44.0101897028624,0.4539282555061105,0.5343400515800071,183.51778343639018,0.015579655731181878,0.05702722590139809,0.029156818181818672,1.3965578124999996,42.15720541974218,4.353177152260879,37.4,0.39244666400801165,0.1,12.012012012019929,0.002497499999998354,0.010344827586206896,0.002497499999998354,1.0,37.16659829235143,0.45046200046230495,-0.08560185821099009,0.1750773217891912,0.5,0.4942675159235293,0.5198555956679063,0.5214659685863874,0.5198555956679063,0.0,-0.11789993606029547,0.5042986179911247,data/Split/Healthy,0.6452724731541678,0.9967523949029142,1.6185114773200737,1.6186429837146208,1.6961508253935338,1.6810997380758075,1.74128074402729,0.022472013246651306,0.5982429702279604,1.6422806629213087,0.7372858278892936,-1.3540776208339604,-0.9562253569792208,-0.7941653932643287,-1.143733313597881,-1.139489219727989,-1.1191466674992119,0.7360436647324773,0.8337083057276934,-0.9729988385340853,3.951076687096199,-0.6630184520589083,1.2434656762197924,-0.10468662643140694,0.0211167824925374,-0.024163726173302612,0.0472526577200472,-0.010231633741975676,-0.01942754121872898,0.00023689246109695613,0
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0116,AG7518,5,022422,1.4,1,Naive mice,116,7,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7518_mouse#5_Naive_recorded_022422/Trajectory1_1.4mm_right_rec1_1mW_10s_GPe_cont_neurons_recorded_together/Ch7.txt,40.04579227367618,0.4278225339138256,0.21222800634235234,167.75024965499367,0.004636773807798959,0.017937219730941704,0.021848076923076866,3.767545833333333,39.51068420400897,4.245693362049469,33.9,0.30394359364209383,0.0,0.0,0.0,0.0,0.0,1.0,33.9,0.0,-0.06745927426246208,0.3478822954885413,0.8,0.8,0.8,0.8,0.8,0.0,-0.11145613048150663,0.8,data/Split/Healthy,0.6845052557081229,1.372067733754912,2.458001252529892,2.475318380839547,2.4916384387631596,2.469441357541923,2.5537876509714983,0.022472013246651306,0.612332848264561,2.4828766116175855,0.5101453091169866,-1.9079024401701612,-1.1870631251855843,-1.0295071035516852,-1.3420281493875708,-1.3063908009010003,-1.377912603239673,0.7360436647324773,0.6185277873840586,-1.1769385204001805,5.770963638606183,-1.3761231454097653,1.8451748117933615,-0.0810964154903192,0.1517442853778642,-0.05971180450722789,0.06825581658597736,-0.019400807647976148,-0.0016745072124910833,0.0018002605380564984,0
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0033,AG6927,4,052021,1.7,5,Naive mice,33,1,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG6927_mouse#4_Naive_recorded_052021/Trajectory5_1.7mm_left_in_SNr_1mW_10s_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch1.txt,24.075664939456907,0.829051808142232,1.4576081069817335,110.94333268051066,0.050801831057356306,0.21363952679192763,0.034852873563218284,0.6508816860465118,19.94541487124837,5.562347707313786,19.5,0.7403012688223025,0.7,56.78464873483425,0.0321550000000002,0.12716628527841342,0.0321550000000002,1.0,17.54178670383875,3.3755269122775453,0.041702188420454665,-0.008877958240821809,-0.1,-0.07052201847634723,-0.16285856010906957,-0.1254921549039196,-0.16285856010906957,0.0,0.05225078861638603,-0.062325342697015375,data/Split/Healthy,0.9205635779879562,0.5972196917632588,-0.06046807309956236,0.036078735968552426,-0.24245885587957539,-0.15000151806384648,-0.23880509191824245,0.022472013246651306,0.9702906568349601,0.03152794153432136,-0.424375682403362,0.8226888220704786,0.42880125225896,0.08302894269519373,1.2109930497402417,0.7452870939693245,1.9536664413008926,0.7360436647324773,-0.4590362413750146,0.3512789183933767,0.35477781325216284,1.4701825060286202,-0.0882111690929918,-0.10680218548795486,0.21705162445264337,0.10142812176146355,-0.05583995868201512,-0.019364087756006454,0.020073529304906215,-0.0009142602866588801,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0053,AG7094,3,081921,1.4,4,Naive mice,53,9,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#3_Naive_recorded_081921/Trajectory4_1.4mm_left_rec11_1mW_10s_GPe_neurons_recorded_together/Ch9.txt,19.68835637698768,0.9145155363245878,1.5456753397635117,104.39808214562827,0.060848930506689894,0.28442728442728443,0.039367213114753954,0.6045441666666669,15.001261347064698,6.959286937965111,27.4,0.7589680067297797,1.1,98.6104489887052,0.030904999999987127,0.1392669172932331,0.02315874999999181,0.8152166666666707,24.106774763405475,4.084509333651115,-0.886205012131235,-0.8811260533198283,-0.7,-0.7,-0.7,-0.7,-0.7,0.17189780649464512,-0.8649399550418284,-0.7,data/Split/Healthy,-1.0860073455792625,-1.2972170386120416,-1.7394476235191987,-1.7277452863041072,-1.7677056766378993,-1.776044995409996,-1.7966842541233754,1.1225040295408932,-1.0352176652942013,-1.7812019479022014,0.08831291711127369,0.9394994898412311,1.3521523250844143,0.9024882769044418,1.1117463851797342,0.940516506894387,1.021565120216277,-0.9235199929696476,-0.02658100594401438,0.6722597099256011,-4.971487516533044,0.4568675231156119,-0.1441570032512272,-0.0306712610411582,0.02381312844689544,0.006709958007009562,0.03147258162083403,0.01955705375565378,-0.001939090539347316,-0.00031645841840692704,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0007,AG7094,2,081821,1.0,6,Naive mice,7,2,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#2_Naive_recorded_081821/Trajectory6_1.0mm_left_rec19_1mW_10s_GPe_cells_rec_together/Ch2.txt,8.360835239769962,0.9068051247932941,0.6903441941094464,60.556396531592945,0.04719780981912358,0.27522935779816515,0.06836851851851874,1.209816346153846,6.359859358553173,9.521656552067078,9.8,0.7275637451983512,0.4,33.88288084043022,0.017749999999992383,0.10348039215686274,0.017749999999992383,1.0,8.77118686629443,3.7618996673021554,0.14030370466395875,0.10330598597608254,0.06666666666666667,0.010331310257906822,0.06161174011493085,0.05384615384615384,-0.004789981113315663,-0.15938928686660608,0.13592858833630592,0.009812078714243222,data/Split/Healthy,1.1337863392686351,0.8408721407418116,0.4059151353503366,0.26263319488226256,0.3949386456813614,0.35758404350942985,0.21964351608128893,-0.9975137689048849,1.1532586216515481,0.23659436285351562,-1.0538794058580414,0.7429813419722284,-0.2637120523601303,-0.36566701427519754,0.06727448735629318,0.3631431693327542,0.4611646177390023,0.7360436647324773,-1.0367816665306915,0.5262031887215675,1.647563047026644,1.1701155991450856,-0.7411842404479586,0.050022372895541754,-0.1173344518924329,0.020167486235630205,0.12412414921761758,-0.016104777854997764,-0.0028561879439076066,0.003839367589904374,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0001,AG7094,2,081821,1.7,2,Naive mice,1,1,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#2_Naive_recorded_081821/Trajectory2_1.7mm_right_rec5_1mW_10s_GPe_cells_rec_together/Ch1.txt,14.115796409587281,0.862049333899216,0.8073610492568372,74.47420616824314,0.042902775498936556,0.1992619926199262,0.05313951612903282,1.1144258333333326,11.809724655181215,6.306176337106174,19.1,0.5986122246782509,0.5,46.3811307530015,0.019389999999997087,0.09205182072829132,0.01391374999999755,0.9031125000000003,17.48479909781317,2.8134082196782977,-0.9813852813852814,-1.0,-0.4,-0.4,-0.4,-0.4,-0.4,0.09396290459449574,-0.9813852813852814,-0.4,data/Split/Healthy,-1.2918317649489115,-1.5553995123211926,-0.8999578483093805,-0.8871325528753764,-0.9158368535576878,-0.9269477248196124,-0.9265898731044008,0.6237723178038623,-1.2898343550826292,-0.9283862359982442,-0.45033459883448274,-0.06395735811918865,-0.03287428415376686,-0.12079883506591671,0.19748611125869078,0.17875666060828482,0.06369081554334209,-0.134115840375943,-0.4627901840108322,0.09678840149733706,-3.2878052840596745,-0.9076318185431292,-0.04924527563473724,-0.2734329786183781,0.01663714041283581,0.009764562181526895,0.014186463319293055,0.015514589214923928,-0.0007352828097939193,-0.00046062009456435956,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0072,AG6926,5,051921,1.7,2,Naive mice,72,13,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG6926_mouse#5_Naive_recorded_051921/Trajectory2_1.7mm_right_in_SNr_1mW_10s_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch13.txt,4.42675591184099,1.2251094019853987,0.5325420645823747,80.4498694728419,0.05109158641784734,0.42105263157894735,0.09593906249999973,1.3127850000000003,2.7008493645111895,29.78687761336961,14.2,0.8228158660943583,0.7,91.78207665260477,0.022952500000002374,0.15342059256532942,0.020275000000000886,0.9028824999999984,12.264233511834409,7.843457312730541,0.2951197691197691,-0.11141436398982418,0.033333333333333326,0.014953120016893173,0.04843870383330653,-0.03912332897974398,0.01976974303719241,-0.04254466340426612,0.32312211517662914,-0.09076260960105918,data/Split/Healthy,1.468571340671189,0.37452074366870264,0.3126384936603568,0.2755837019985596,0.3575329826359606,0.09445026312386517,0.2908744426903992,-0.24978563111492819,1.5625717100388359,-0.04931121853026186,-0.7683313251157127,1.3390396304419137,0.42880125225896,0.7687054583018058,0.480339105253599,1.1688693491855358,0.7227798280482296,-0.13618150092221198,-0.8066843235100628,2.3740650879994614,1.3201232881241804,1.6208798011799497,-0.2495444796543912,-0.7316261037130862,-0.20430472360368523,-0.20504473791803624,0.13052365228743226,0.0051968619003089096,0.017671955417058245,0.019077800058730474,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0082,AG7094,1,081321,1.7,3,Naive mice,82,15,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#1_Naive_recorded_081321/Trajectory3_1.7mm_right_1mW_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch15.txt,28.200987164270103,0.7882136238343537,1.5306883557423514,142.20706354091672,0.04419927486882164,0.19595216191352346,0.02887542372881378,0.6337413793103447,23.72350445562158,5.994353144871013,19.5,0.8251769828571393,0.9,78.24903672316336,0.03309000000000424,0.14763070263070263,0.029411250000003265,0.8484400000000001,17.031572481102465,4.065819766712386,-0.4502478794248475,-0.4153066551733614,-0.4333333333333334,-0.41521112807776694,-0.42702865832259035,-0.411496924128503,-0.39617436694445374,0.12207126631896847,-0.4287977561326931,-0.38598460907215487,data/Split/Healthy,-0.14326338811210365,-0.2855033042414884,-0.9932344899993605,-0.929754779381997,-0.9925864247400283,-0.9594877478119345,-0.9154943336861633,0.8036472007533597,-0.08155909907787062,-0.8885444173591026,-0.424375682403362,1.3538147682893618,0.8904767886716871,0.5035634688336932,1.285229554831046,1.0754563099778673,1.669386546931498,-0.6251368239191294,-0.4926455655370187,0.6637982984596223,-2.402599223564795,0.9754903127257994,0.1317073039358636,-0.005950007521572118,0.01049250964163786,0.04601731938852635,-0.07188917832833569,-0.00668765468130599,0.0030941962917525765,0.0024436007319204116,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0019,AG7094,2,081821,1.7,5,Naive mice,19,7,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#2_Naive_recorded_081821/Trajectory5_1.7mm_left_rec15_1mW_10s_GPe_cells_rec_together/Ch7.txt,13.89661979938657,0.9732203989976826,0.6846874718675865,93.87518025361194,0.03538376098828297,0.18795620437956204,0.0516787037037037,1.2199211538461538,11.698604514215448,8.024476777511405,16.7,0.7968515311091152,0.8,50.550159589907835,0.035902499999997416,0.16512583542188805,0.029796666666665077,0.8512500000000003,14.289739890143446,3.502814847946845,-0.99,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.12144956726003428,-0.9856773160343966,-0.5,data/Split/Healthy,-1.310460830308821,-1.5553995123211926,-1.1797877733793198,-1.16733679735162,-1.1997931279177583,-1.2099801483497403,-1.216621333444059,0.7996687388795666,-1.2992192199727122,-1.21265813996623,-0.6060880974212076,1.1765628590380097,0.6596390204653236,-0.03911839920445963,1.5085345500893106,1.3577196247936631,1.7093195617057833,-0.5998998407236208,-0.6732582106594573,0.4089065564164452,-3.924859849185746,-0.5867808458276019,-0.07182497168236628,-0.20647177793566582,0.02142187551287398,0.009179435736010919,0.020487407356581423,0.020057878757859467,-0.0009448365671913635,-0.0006093729882404692,2
